Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_10973_20041202, Art. 1º, caput",3,4,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DISPOSIÇÕES PRELIMINARES | ] Esta Lei estabelece medidas de incentivo à inovação e à pesquisa científica e tecnológica no ambiente produtivo, com vistas à capacitação tecnológica, ao alcance da autonomia tecnológica e ao desenvolvimento do sistema produtivo nacional e regional do País, nos termos dos arts. 23, 24, 167, 200, 213, 218, 219 e 219-A da Constituição Federal. (“Caput” do artigo com redação dada pela Lei nº 13.243, de 11.1.2016)",urn:lex:br:federal:lei:2004-12-02;10973!art1_cpt
"PAR","lei_10973_20041202, Art. 1º, Parágrafo único.",5,34,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DISPOSIÇÕES PRELIMINARES | ] As medidas às quais se refere o caput deverão observar os seguintes princípios: promoção das atividades científicas e tecnológicas como estratégicas para o desenvolvimento econômico e social; promoção e continuidade dos processos de desenvolvimento científico, tecnológico e de inovação, assegurados os recursos humanos, econômicos e financeiros para tal finalidade; redução das desigualdades regionais; descentralização das atividades de ciência, tecnologia e inovação em cada esfera de governo, com desconcentração em cada ente federado; promoção da cooperação e interação entre os entes públicos, entre os setores público e privado e entre empresas; estímulo à atividade de inovação nas Instituições Científica, Tecnológica e de Inovação (ICTs) e nas empresas, inclusive para a atração, a constituição e a instalação de centros de pesquisa, desenvolvimento e inovação e de parques e polos tecnológicos no País; promoção da competitividade empresarial nos mercados nacional e internacional; incentivo à constituição de ambientes favoráveis à inovação e às atividades de transferência de tecnologia; promoção e continuidade dos processos de formação e capacitação científica e tecnológica; fortalecimento das capacidades operacional, científica, tecnológica e administrativa das ICTs; atratividade dos instrumentos de fomento e de crédito, bem como sua permanente atualização e aperfeiçoamento; simplificação de procedimentos para gestão de projetos de ciência, tecnologia e inovação e adoção de controle por resultados em sua avaliação; utilização do poder de compra do Estado para fomento à inovação; apoio, incentivo e integração dos inventores independentes às atividades das ICTs e ao sistema produtivo. (Parágrafo único acrescido pela Lei nº 13.243, de 11.1.2016)",urn:lex:br:federal:lei:2004-12-02;10973!art1_par1u
"CPT","lei_10973_20041202, Art. 2º, caput",37,68,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DISPOSIÇÕES PRELIMINARES | ] Para os efeitos desta Lei, considera-se: agência de fomento: órgão ou instituição de natureza pública ou privada que tenha entre os seus objetivos o financiamento de ações que visem a estimular e promover o desenvolvimento da ciência, da tecnologia e da inovação; criação: invenção, modelo de utilidade, desenho industrial, programa de computador, topografia de circuito integrado, nova cultivar ou cultivar essencialmente derivada e qualquer outro desenvolvimento tecnológico que acarrete ou possa acarretar o surgimento de novo produto, processo ou aperfeiçoamento incremental, obtida por um ou mais criadores; criador: pessoa física que seja inventora, obtentora ou autora de criação; (Inciso com redação dada pela Lei nº 13.243, de 11.1.2016) incubadora de empresas: organização ou estrutura que objetiva estimular ou prestar apoio logístico, gerencial e tecnológico ao empreendedorismo inovador e intensivo em conhecimento, com o objetivo de facilitar a criação e o desenvolvimento de empresas que tenham como diferencial a realização de atividades voltadas à inovação; (Inciso acrescido pela Lei nº 13.243, de 11.1.2016) inovação: introdução de novidade ou aperfeiçoamento no ambiente produtivo e social que resulte em novos produtos, serviços ou processos ou que compreenda a agregação de novas funcionalidades ou características a produto, serviço ou processo já existente que possa resultar em melhorias e em efetivo ganho de qualidade ou desempenho; (Inciso com redação dada pela Lei nº 13.243, de 11.1.2016) Instituição Científica, Tecnológica e de Inovação (ICT): órgão ou entidade da administração pública direta ou indireta ou pessoa jurídica de direito privado sem fins lucrativos legalmente constituída sob as leis brasileiras, com sede e foro no País, que inclua em sua missão institucional ou em seu objetivo social ou estatutário a pesquisa básica ou aplicada de caráter científico ou tecnológico ou o desenvolvimento de novos produtos, serviços ou processos; (Inciso com redação dada pela Lei nº 13.243, de 11.1.2016) Núcleo de Inovação Tecnológica (NIT): estrutura instituída por uma ou mais ICTs, com ou sem personalidade jurídica própria, que tenha por finalidade a gestão de política institucional de inovação e por competências mínimas as atribuições previstas nesta Lei; ; (Inciso com redação dada pela Lei nº 13.243, de 11.1.2016) fundação de apoio: fundação criada com a finalidade de dar apoio a projetos de pesquisa, ensino e extensão, projetos de desenvolvimento institucional, científico, tecnológico e projetos de estímulo à inovação de interesse das ICTs, registrada e credenciada no Ministério da Educação e no Ministério da Ciência, Tecnologia e Inovação, nos termos da Lei no 8.958, de 20 de dezembro de 1994, e das demais legislações pertinentes nas esferas estadual, distrital e municipal; (Inciso com redação dada pela Lei nº 13.243, de 11.1.2016) pesquisador público: ocupante de cargo público efetivo, civil ou militar, ou detentor de função ou emprego público que realize, como atribuição funcional, atividade de pesquisa, desenvolvimento e inovação; (Inciso com redação dada pela Lei nº 13.243, de 11.1.2016) inventor independente: pessoa física, não ocupante de cargo efetivo, cargo militar ou emprego público, que seja inventor, obtentor ou autor de criação. parque tecnológico: complexo planejado de desenvolvimento empresarial e tecnológico, promotor da cultura de inovação, da competitividade industrial, da capacitação empresarial e da promoção de sinergias em atividades de pesquisa científica, de desenvolvimento tecnológico e de inovação, entre empresas e uma ou mais ICTs, com ou sem vínculo entre si; (Inciso acrescido pela Lei nº 13.243, de 11.1.2016) polo tecnológico: ambiente industrial e tecnológico caracterizado pela presença dominante de micro, pequenas e médias empresas com áreas correlatas de atuação em determinado espaço geográfico, com vínculos operacionais com ICT, recursos humanos, laboratórios e equipamentos organizados e com predisposição ao intercâmbio entre os entes envolvidos para consolidação, marketing e comercialização de novas tecnologias; (Inciso acrescido pela Lei nº 13.243, de 11.1.2016) extensão tecnológica: atividade que auxilia no desenvolvimento, no aperfeiçoamento e na difusão de soluções tecnológicas e na sua disponibilização à sociedade e ao mercado; (Inciso acrescido pela Lei nº 13.243, de 11.1.2016) bônus tecnológico: subvenção a microempresas e a empresas de pequeno e médio porte, com base em dotações orçamentárias de órgãos e entidades da administração pública, destinada ao pagamento de compartilhamento e uso de infraestrutura de pesquisa e desenvolvimento tecnológicos, de contratação de serviços tecnológicos especializados, ou transferência de tecnologia, quando esta for meramente complementar àqueles serviços, nos termos de regulamento; (Inciso acrescido pela Lei nº 13.243, de 11.1.2016) capital intelectual: conhecimento acumulado pelo pessoal da organização, passível de aplicação em projetos de pesquisa, desenvolvimento e inovação. (Inciso acrescido pela Lei nº 13.243, de 11.1.2016)",urn:lex:br:federal:lei:2004-12-02;10973!art2_cpt
"CPT","lei_10973_20041202, Art. 3º, caput",73,74,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] A União, os Estados, o Distrito Federal, os Municípios e as respectivas agências de fomento poderão estimular e apoiar a constituição de alianças estratégicas e o desenvolvimento de projetos de cooperação envolvendo empresas, ICTs e entidades privadas sem fins lucrativos voltados para atividades de pesquisa e desenvolvimento, que objetivem a geração de produtos, processos e serviços inovadores e a transferência e a difusão de tecnologia.",urn:lex:br:federal:lei:2004-12-02;10973!art3_cpt
"PAR","lei_10973_20041202, Art. 3º, Parágrafo único.",75,76,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] O apoio previsto no caput poderá contemplar as redes e os projetos internacionais de pesquisa tecnológica, as ações de empreendedorismo tecnológico e de criação de ambientes de inovação, inclusive incubadoras e parques tecnológicos, e a formação e a capacitação de recursos humanos qualificados. (Artigo com redação dada pela Lei nº 13.243, de 11.1.2016)",urn:lex:br:federal:lei:2004-12-02;10973!art3_par1u
"CPT","lei_10973_20041202, Art. 3º-A., caput",79,80,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] A Financiadora de Estudos e Projetos - FINEP, como secretaria executiva do Fundo Nacional de Desenvolvimento Científico e Tecnológico - FNDCT, o Conselho Nacional de Desenvolvimento Científico e Tecnológico - CNPq e as Agências Financeiras Oficiais de Fomento poderão celebrar convênios e contratos, nos termos do inciso XIII do art. 24 da Lei nº 8.666, de 21 de junho de 1993, por prazo determinado, com as fundações de apoio, com a finalidade de dar apoio às IFES e demais ICTs, inclusive na gestão administrativa e financeira dos projetos mencionados no caput do art. 1º da Lei nº 8.958, de 20 de dezembro de 1994, com a anuência expressa das instituições apoiadas. (Artigo acrescido pela Medida Provisória nº 495, de 19.7.2010, com redação dada pela Lei nº 12.349, de 15.12.2010)",urn:lex:br:federal:lei:2004-12-02;10973!art3-1_cpt
"CPT","lei_10973_20041202, Art. 3º-B., caput",83,84,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] A União, os Estados, o Distrito Federal, os Municípios, as respectivas agências de fomento e as ICTs poderão apoiar a criação, a implantação e a consolidação de ambientes promotores da inovação, incluídos parques e polos tecnológicos e incubadoras de empresas, como forma de incentivar o desenvolvimento tecnológico, o aumento da competitividade e a interação entre as empresas e as ICTs.",urn:lex:br:federal:lei:2004-12-02;10973!art3-2_cpt
"PAR","lei_10973_20041202, Art. 3º-B., § 1º",85,86,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] As incubadoras de empresas, os parques e polos tecnológicos e os demais ambientes promotores da inovação estabelecerão suas regras para fomento, concepção e desenvolvimento de projetos em parceria e para seleção de empresas para ingresso nesses ambientes.",urn:lex:br:federal:lei:2004-12-02;10973!art3-2_par1
"PAR","lei_10973_20041202, Art. 3º-B., § 2º",87,92,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] Para os fins previstos no caput, a União, os Estados, o Distrito Federal, os Municípios, as respectivas agências de fomento e as ICTs públicas poderão: ceder o uso de imóveis para a instalação e a consolidação de ambientes promotores da inovação, diretamente às empresas e às ICTs interessadas ou por meio de entidade com ou sem fins lucrativos que tenha por missão institucional a gestão de parques e polos tecnológicos e de incubadora de empresas, mediante contrapartida obrigatória, financeira ou não financeira, na forma de regulamento; participar da criação e da governança das entidades gestoras de parques tecnológicos ou de incubadoras de empresas, desde que adotem mecanismos que assegurem a segregação das funções de financiamento e de execução. (Artigo acrescido pela Lei nº 13.243, de 11.1.2016)",urn:lex:br:federal:lei:2004-12-02;10973!art3-2_par2
"CPT","lei_10973_20041202, Art. 3º-C., caput",95,96,"[ Dispõe sobre incentivos à inovação e à pesquisa científica e tecnológica no ambiente produtivo e dá outras providências. | DO ESTÍMULO À CONSTRUÇÃO DE AMBIENTES ESPECIALIZADOS E COOPERATIVOS DE INOVAÇÃO | ] A União, os Estados, o Distrito Federal e os Municípios estimularão a atração de centros de pesquisa e desenvolvimento de empresas estrangeiras, promovendo sua interação com ICTs e empresas brasileiras e oferecendo-lhes o acesso aos instrumentos de fomento, visando ao adensamento do processo de inovação no País. (Artigo acrescido pela Lei nº 13.243, de 11.1.2016)",urn:lex:br:federal:lei:2004-12-02;10973!art3-3_cpt
